Online,Venue,yes_rsvp_count,Duration Minutes,int,Entry Fee,meta_category.name,members,Group,Pro,Duration Hours,Datetime,EDT,
NO,Don Cherry's,15,150,10,FREE,Outdoors & Adventure,332,Sport Touring Riders of Ottawa,NO,2.5,20-01-20 18:30,18:30:00,
NO,Pub Italia,9,150,10,FREE,Outdoors & Adventure,332,Sport Touring Riders of Ottawa,NO,2.5,20-02-20 18:30,18:30:00,
,,1,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,01-01-20 09:00,09:00:00,
,,4,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,01-01-20 11:00,11:00:00,
,,7,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,02-01-20 10:00,10:00:00,
,,8,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,03-01-20 19:00,19:00:00,
,,4,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,05-01-20 09:00,09:00:00,
,,1,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,05-01-20 10:00,10:00:00,
,,5,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,05-01-20 11:30,11:30:00,
,,12,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,08-01-20 18:00,18:00:00,
,,11,120,8,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,2.0,10-01-20 18:30,18:30:00,
,,4,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,12-01-20 09:00,09:00:00,
,,2,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,12-01-20 10:00,10:00:00,
,,11,225,15,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.8,15-01-20 17:45,17:45:00,
,,6,60,4,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,1.0,15-01-20 19:00,19:00:00,
,,5,190,13,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.2,17-01-20 10:20,10:20:00,
,,4,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,17-01-20 18:30,18:30:00,
,,8,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,18-01-20 11:30,11:30:00,
,,7,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,18-01-20 16:30,16:30:00,
,,9,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,19-01-20 10:00,10:00:00,
,,3,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,19-01-20 11:30,11:30:00,
,,1,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,19-01-20 11:30,11:30:00,
,,3,240,16,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,4.0,22-01-20 10:30,10:30:00,
,,7,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,22-01-20 18:15,18:15:00,
,,10,180,12,FREE,Outdoors & Adventure,11042,Ottawa-Gatineau Adventurers,NO,3.0,25-01-20 10:00,10:00:00,
